Name,Modality,Location,List,Notable Clients / Recognition,Website,Instagram,LinkedIn,Why They're Elite,Price Range,Contact Info,Notes
"Gil Hedley","Fascia / Integral Anatomy","New York, USA",World,"Creator of 'Fuzz Speech' (viral anatomy video); teaches integral anatomy dissection courses worldwide; PhD","https://www.gilhedley.com","@gilhedley","","His dissection videos showing fascia have been viewed millions of times. Teaches practitioners to understand the body through direct anatomical exploration.","$500-2000 (workshops)","Via gilhedley.com","Educator more than clinician"
"Tom Myers / Jeff Maitland","Advanced Rolfing / Structural Integration","Multiple, USA",World,"Jeff Maitland is Rolf Institute's most senior faculty; co-developer of Advanced Rolfing; philosopher-practitioner","","","","Jeff Maitland brought philosophical rigor to Rolfing, developing the Advanced Rolfing curriculum. His integration of phenomenology with bodywork is unmatched.","$250-400/session","Via rolf.org","Consider as separate entry - Jeff Maitland specifically"
"Tiffany Field","Touch Research / Massage Therapy Research","Miami FL, USA",World,"Director of Touch Research Institute at University of Miami; 100+ published studies on massage therapy; featured in NYT, CNN","https://www.miami.edu/touch-research","@touchresearchinstitute","","Founded the world's first and only center devoted to touch research. Her work provides the scientific evidence base for the entire massage therapy profession.","N/A (researcher)","Via miami.edu","Academic - provides the evidence base"
"Mikael Lund","Deep Tissue / Sports Massage","Copenhagen, Denmark",World,"Works with Danish Olympic team, European football clubs; featured in European wellness publications; 20+ years","","","","One of Europe's most sought-after sports massage therapists. Works with Olympic athletes and elite football players. Known for combining deep tissue with movement assessment.","€300-500/session","","Scandinavian elite sports bodyworker"
"Hugh Milne","Craniosacral Therapy / Visionary Craniosacral Work","Big Sur CA, USA",World,"Author of 'Heart of Listening' (definitive craniosacral text); teaches at Esalen; Scottish-trained osteopath; 40+ years","https://www.milneinstitute.com","","","Author of the most comprehensive craniosacral therapy textbook ever written. His Visionary Craniosacral Work bridges clinical practice with spiritual dimensions.","$200-400/session","Via milneinstitute.com","Esalen-connected - Big Sur"
"Alexandra Ellis","Sound Healing / Vibrational Therapy","London, UK / Ibiza, Spain",World,"Featured in Vogue, Tatler, Evening Standard; works with celebrity clientele; luxury retreat facilitator","https://www.alexandraellis.co","@alexandraellissoundhealing","","One of the world's most in-demand sound healers. Her sessions combine Tibetan bowls, gongs, and voice work. Regular at luxury retreats and private events for high-net-worth clients.","£200-500/session","Via alexandraellis.co","Also does private retreats"
"Vicky Vlachonis","Osteopathy / Pain Coach","Los Angeles CA, USA",World,"Author of 'The Body Doesn't Lie'; featured in Goop, Vogue; clients include Gwyneth Paltrow, Cameron Diaz","https://www.vickyvlachonis.com","@vickyvlachonis","","Celebrity osteopath and pain coach. Greek-born, London-trained. Her integrative approach combining osteopathy with emotional release is sought by Hollywood's elite.","$300-600/session","Via vickyvlachonis.com","Also on CA list - splits time LA/London"
"Dr. Nishi Dhawan","Acupuncture / Traditional Chinese Medicine","Vancouver, Canada",World,"Named one of Canada's top acupuncturists; featured in Globe and Mail; treats elite athletes and executives; 25+ years","https://www.westcoastclinic.ca","","","One of North America's most respected TCM practitioners. Combines classical acupuncture with modern sports medicine. Known for treating complex chronic conditions.","CAD $200-400/session","Via westcoastclinic.ca","Canadian but globally recognized"
"Daniel Maman","Vibrational / Sound Healing","New York NY, USA",World,"French musician-turned-healer; author of 'The Role of Music in the 21st Century'; photographs sound's effect on cells","https://www.tamamdo.com","@danielmaman","","Pioneer who photographed the effect of sound on human cells. His work bridges music, healing, and science. Celebrity clientele in NYC.","$300-600/session","Via tamamdo.com","NYC-based sound healer"
"Bessel van der Kolk","Somatic / Trauma Bodywork","Boston MA, USA",World,"Author of 'The Body Keeps the Score' (NYT #1 bestseller for years); psychiatrist; founded Trauma Center","https://www.besselvanderkolk.com","@beaborealsselvanderkolk","","His book 'The Body Keeps the Score' transformed understanding of trauma and the body. The most influential voice connecting bodywork to trauma healing.","N/A (clinical/educational)","Via besselvanderkolk.com","More clinical than hands-on bodyworker"
"Dr. Brent Anderson","Physical Therapy / Pilates","Miami FL, USA",World,"Founder of Polestar Pilates (global education company); PhD in PT; trains practitioners in 40+ countries","https://www.polestarpilates.com","@polestarpilates","","Created one of the world's largest Pilates education organizations. His evidence-based approach to movement therapy bridges physical therapy and bodywork.","$250-500/session","Via polestarpilates.com","Educator and clinician"
"Dr. Shirley Sahrmann","Movement Science / Physical Therapy","St. Louis MO, USA",World,"Author of 'Diagnosis and Treatment of Movement Impairment Syndromes'; Washington University professor; lifetime achievement awards","","","","The most influential physical therapist of the modern era. Her movement impairment syndromes framework changed how practitioners assess and treat the body.","N/A (academic/clinical)","Via Washington University","Academic - foundational influence"
"Lauren Roxburgh","Fascia Work / Structural Integration","Los Angeles CA, USA",California,"'The Body Whisperer'; Goop, Vogue; Gwyneth Paltrow, athletes, A-list celebrities","https://laurenroxburgh.com","@laurenroxburgh","","The most famous bodyworker in California. Her fascia-focused method and celebrity clientele make her the gold standard for LA premium bodywork.","$500-1000/session","Via laurenroxburgh.com","Malibu/LA based"
"Ashley Neese","Breathwork","Los Angeles CA, USA",California,"Featured in Goop, NYT, Vogue; author of 'How to Breathe'; clients include tech executives and celebrities","https://www.ashleyneese.com","@ashleyneese","","LA's most sought-after breathwork practitioner. Her book 'How to Breathe' became a bestseller. Combines somatic awareness with accessible breath practices.","$250-500/session","Via ashleyneese.com","West LA based"
"Taryn Toomey","Movement / Somatic Release (The Class)","Los Angeles CA, USA",California,"Founded 'The Class'; featured in Vogue, NYT, WSJ; celebrity following including Naomi Watts, Jennifer Aniston","https://www.theclass.com","@taryntoomey","","Created The Class - a cathartic movement practice that combines bodywork principles with emotional release. Massive celebrity following and LA institution.","$40/class; $300+ private","Via theclass.com","Studios in LA and NY"
"Dr. Dot (Dorothy Stein)","Deep Tissue / Rock & Roll Massage","Los Angeles CA, USA",California,"Masseuse to rock stars for 30+ years; clients include Mick Jagger, Bono, Sting, Kanye West; featured in Rolling Stone, Vanity Fair","https://www.drdot.com","@therealdrdot","","The most legendary celebrity massage therapist alive. Has worked with virtually every major rock star and entertainer for three decades. Runs global team of therapists.","$300-800/session","Via drdot.com","Also works globally but LA base"
"Daisy Marin","Deep Tissue / Sports Massage","Beverly Hills CA, USA",California,"Works with NBA players, NFL athletes, Hollywood A-list; featured in LA Confidential, Angeleno","","@daisymarinbodywork","","Beverly Hills' most elite sports massage therapist. Her client list reads like a who's who of professional athletes and entertainment industry executives.","$300-600/session","","Beverly Hills practice"
"Dr. Reza Ghassemi","Acupuncture / TCM","Santa Monica CA, USA",California,"Featured in Goop, LA Times; clients include entertainment executives; combines TCM with functional medicine","","@drrezaghassemi","","One of LA's most sought-after acupuncturists. His integrative approach combining classical Chinese medicine with modern diagnostics attracts entertainment industry elite.","$250-500/session","","Santa Monica practice"
"Erin Telford","Acupuncture / Reiki / Breathwork","Los Angeles CA, USA",California,"Featured in Goop, Well+Good, MindBodyGreen; combines acupuncture, reiki, and breathwork; former NYC now LA","https://www.erintelford.com","@erintelford","","A triple-threat healer combining acupuncture, reiki, and breathwork. Her holistic sessions are deeply sought after by LA's wellness-conscious elite.","$200-400/session","Via erintelford.com","Relocated from NYC to LA"
"Guru Jagat (Legacy)","Kundalini Yoga / Breathwork","Los Angeles CA, USA",California,"Founded RA MA Institute in Venice Beach; massive celebrity following; featured in Vogue, NYT; transformed LA kundalini scene","https://ramayogainstitute.com","@ramainstitute","","Transformed Kundalini yoga in LA and made it fashionable among celebrities. RA MA Institute remains a cornerstone of LA's wellness scene.","$25-50/class; private $300+","Via ramayogainstitute.com","Passed in 2021 - institute continues"
"Steve Hoffman","Rolfing / Structural Integration","San Francisco CA, USA",California,"Advanced Rolfer; 30+ years; works with tech executives and athletes in Bay Area; Rolf Institute faculty","","","","San Francisco's most experienced Advanced Rolfer. His practice serves Silicon Valley executives seeking peak performance through structural alignment.","$250-400/session","","SF/Bay Area practice"
"Brian Utting","Deep Tissue / Massage Therapy Education","San Francisco CA, USA",California,"Founded Brian Utting School of Massage; 30+ years teaching; one of West Coast's most respected massage educators","","","","One of the most respected massage therapy educators on the West Coast. His school has trained thousands of practitioners.","$150-300/session","","SF-based educator-practitioner"
"Jasmine Huda","Ayurvedic Bodywork / Panchakarma","Ojai CA, USA",California,"Trained in India; runs Ayurvedic retreat practice in Ojai; featured in wellness publications; 20+ years","","@jasminehudaayurveda","","Ojai's premier Ayurvedic bodywork practitioner. Her panchakarma treatments draw wellness seekers from across California to Ojai for multi-day healing retreats.","$200-500/session","","Ojai-based"
"Amelia Vogler","Energy Healing / Craniosacral","San Diego CA, USA",California,"Featured in Well+Good, MindBodyGreen; grounding and energy medicine specialist; author","https://www.ameliavogler.com","@ameliavogler","","A leading energy medicine practitioner combining craniosacral therapy with energetic healing. Her grounding techniques are used by practitioners worldwide.","$200-400/session","Via ameliavogler.com","San Diego area"
"Zhander Carino","Massage / Bodywork","Los Angeles CA, USA",California,"Works with NBA and NFL athletes; featured in sports wellness media; known for recovery-focused deep tissue","","@zhandercarino","","One of LA's most sought-after sports bodyworkers. His recovery-focused sessions keep professional athletes performing at peak levels throughout grueling seasons.","$300-500/session","","LA sports bodywork"
"Hope Gillerman","Essential Oils / Bodywork","Los Angeles CA / New York, USA",California,"Author of 'Essential Oils Every Day'; featured in Vogue, NYT, Goop; Alexander Technique teacher; 30+ years","https://www.hopegillerman.com","@hopegillerman","","Bridges Alexander Technique with essential oil therapy. Her book and product line bring bodywork principles to daily self-care. Vogue and Goop favorite.","$250-500/session","Via hopegillerman.com","Splits time LA/NYC"
"Michaela Boehm","Somatic / Intimacy Bodywork","Santa Barbara CA, USA",California,"Works with couples and executives; student of David Deida; featured in Goop; combines Kashmiri Shaivism with somatic work","https://www.michaelaboehm.com","@michaelaboehm","","A unique practitioner combining somatic bodywork with intimacy coaching. Works with high-profile couples and executives. Featured extensively on Goop.","$300-800/session","Via michaelaboehm.com","Santa Barbara based"
"Dr. Habib Sadeghi","Osteopathic Medicine / Integrative Healing","Los Angeles CA, USA",California,"Founder of Be Hive of Healing; clients include Gwyneth Paltrow; featured in Goop; author of 'The Clarity Cleanse'","https://www.behiveofhealing.com","@drhabibsadeghi","","LA's most exclusive integrative osteopath. His Be Hive of Healing practice serves Hollywood's elite. Gwyneth Paltrow has called him her go-to healer.","$500-1000+/session","Via behiveofhealing.com","Agoura Hills CA"
"Shaman Durek","Energy Healing / Shamanic Bodywork","Los Angeles CA, USA",California,"Boyfriend of Norwegian Princess Märtha Louise; featured in Goop, Vogue, NYT; celebrity shaman; author","https://www.shamandurek.com","@shamandurek","","The world's most famous modern shaman. His energy healing work with celebrities and royalty has brought shamanic bodywork into mainstream luxury wellness.","$500-1500/session","Via shamandurek.com","LA-based but global practice"
"Shannon Sinton","Craniosacral / Somatic Therapy","Malibu CA, USA",California,"Works with entertainment industry executives; specializes in trauma release; 20+ years experience; Malibu-based","","","","Malibu's go-to craniosacral therapist for entertainment industry clients. Combines craniosacral work with somatic trauma release in a boutique beach setting.","$250-500/session","","Malibu practice"
"Dr. John Amaral","Energy Work / Network Spinal","San Diego CA, USA",California,"Featured on Tony Robbins stage; clients include Tony Robbins; works with major athletes and executives; 20+ years","https://www.johnamaral.com","@drjohnamaral","","Tony Robbins' personal energy practitioner. His Network Spinal approach and energy work sessions are sought by executives and performers at the highest levels.","$300-800/session","Via johnamaral.com","San Diego / Encinitas"
"Esalen Institute Massage Team","Esalen Massage / Integrative Bodywork","Big Sur CA, USA",California,"The birthplace of Esalen massage; 60+ years of bodywork tradition; trained thousands; iconic hot springs setting","https://www.esalen.org","@esalen","","Esalen is the most legendary bodywork destination in the world. Their massage team carries a 60-year lineage of integrative bodywork above the Pacific Ocean.","$175-300/session","Via esalen.org","Institution not individual - iconic"
"Elisha Celeste","Sound Healing / Vibrational Therapy","Los Angeles CA, USA",California,"Featured in Vogue, Well+Good; leads sound baths for celebrity clientele; private sessions and events","","@elishacelestelove","","LA's most exclusive sound healer. Her private sound baths and vibrational therapy sessions serve the city's most wellness-devoted celebrities and executives.","$200-500/session","","Venice/West LA"
"Kelly Starrett","Physical Therapy / Movement / MobilityWOD","San Francisco CA, USA",California,"Author of 'Becoming a Supple Leopard' (NYT bestseller); founded The Ready State; works with Navy SEALs, NFL, NBA; DPT","https://www.thereadystate.com","@thereadystate","","The most influential sports physical therapist of the modern era. His mobility work is used by every major professional sports team. NYT bestselling author.","$500+/session (private)","Via thereadystate.com","SF-based - massive global influence"
"Marika Molnar","Physical Therapy / Dance Medicine","Los Angeles CA / New York, USA",California,"PT to the New York City Ballet for 30+ years; works with world-class dancers and performers; legendary in dance medicine","","","","The world's most famous dance medicine physical therapist. Her work with NYCB and elite performers spans decades. Splits time between coasts.","$300-500/session","","Dance/performance PT - NYC primary"
"Yogi Aaron","Yoga / Bodywork / Applied Yoga Anatomy","Los Angeles CA / Costa Rica",California,"Author of 'Stop Stretching'; challenges conventional flexibility paradigms; works with athletes and celebrities","https://www.yogiaaron.com","@yogiaaron","","A provocative voice in the bodywork world who argues against traditional stretching. His applied anatomy approach to yoga-based bodywork attracts elite athletes.","$200-500/session","Via yogiaaron.com","LA and Blue Osa retreat Costa Rica"
"Tracee Stanley","Yoga Nidra / Somatic Rest","Los Angeles CA, USA",California,"Author of 'Radiant Rest'; featured in Yoga Journal, Well+Good; trained in Sri Vidya Tantra tradition; 20+ years","https://www.traceestanley.com","@traceeyoga","","LA's premier Yoga Nidra teacher. Her somatic rest practices combine ancient tantric traditions with modern nervous system science. Author and teacher's teacher.","$150-400/session","Via traceestanley.com","LA-based"
